epoch,step,loss,learning_rate,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
3.58,7600,0.309,3e-05,,,,
3.61,7650,0.3024,3e-05,,,,
3.63,7700,0.2934,3e-05,,,,
3.65,7750,0.319,3e-05,,,,
3.68,7800,0.3055,3e-05,,,,
3.7,7850,0.2998,3e-05,,,,
3.72,7900,0.2749,3e-05,,,,
3.75,7950,0.2815,3e-05,,,,
3.77,8000,0.2789,3e-05,,,,
3.79,8050,0.2914,3e-05,,,,
3.82,8100,0.2823,3e-05,,,,
3.84,8150,0.2912,3e-05,,,,
3.86,8200,0.2914,3e-05,,,,
3.89,8250,0.2935,3e-05,,,,
3.91,8300,0.2942,3e-05,,,,
3.94,8350,0.2967,3e-05,,,,
3.96,8400,0.2781,3e-05,,,,
3.98,8450,0.2784,3e-05,,,,
4.01,8500,0.2653,3e-05,,,,
4.03,8550,0.2385,3e-05,,,,
4.05,8600,0.2368,3e-05,,,,
4.08,8650,0.2452,3e-05,,,,
4.1,8700,0.2223,3e-05,,,,
4.12,8750,0.2416,3e-05,,,,
4.15,8800,0.2271,3e-05,,,,
4.17,8850,0.2486,3e-05,,,,
4.19,8900,0.2387,3e-05,,,,
4.22,8950,0.2489,3e-05,,,,
4.24,9000,0.2488,3e-05,,,,
4.26,9050,0.2317,3e-05,,,,
4.29,9100,0.2287,3e-05,,,,
4.31,9150,0.2395,3e-05,,,,
4.34,9200,0.2405,3e-05,,,,
4.36,9250,0.2455,3e-05,,,,
4.38,9300,0.2494,3e-05,,,,
4.41,9350,0.2342,3e-05,,,,
4.43,9400,0.2347,3e-05,,,,
4.45,9450,0.2383,3e-05,,,,
4.48,9500,0.2462,3e-05,,,,
4.5,9550,0.2389,3e-05,,,,
4.52,9600,0.2214,3e-05,,,,
4.55,9650,0.2413,3e-05,,,,
4.57,9700,0.2459,3e-05,,,,
4.59,9750,0.243,3e-05,,,,
4.62,9800,0.2397,3e-05,,,,
4.64,9850,0.2383,3e-05,,,,
4.67,9900,0.2282,3e-05,,,,
4.69,9950,0.2447,3e-05,,,,
4.71,10000,0.2463,3e-05,,,,
4.71,10000,,,0.30166,168.5164,172.648,43.165
4.74,10050,0.2327,3e-05,,,,
4.76,10100,0.238,3e-05,,,,
4.78,10150,0.2396,3e-05,,,,
4.81,10200,0.2296,3e-05,,,,
4.83,10250,0.2278,3e-05,,,,
4.85,10300,0.2464,3e-05,,,,
4.88,10350,0.25,3e-05,,,,
4.9,10400,0.2474,3e-05,,,,
4.92,10450,0.2504,3e-05,,,,
4.95,10500,0.2321,3e-05,,,,
4.97,10550,0.2232,3e-05,,,,
5.0,10600,0.2369,3e-05,,,,
5.02,10650,0.184,3e-05,,,,
5.04,10700,0.1739,3e-05,,,,
5.07,10750,0.1967,3e-05,,,,
5.09,10800,0.1906,3e-05,,,,
5.11,10850,0.1933,3e-05,,,,
5.14,10900,0.1789,3e-05,,,,
5.16,10950,0.2057,3e-05,,,,
5.18,11000,0.1882,3e-05,,,,
5.21,11050,0.2008,3e-05,,,,
5.23,11100,0.19,3e-05,,,,
5.25,11150,0.1863,3e-05,,,,
5.28,11200,0.1889,3e-05,,,,
5.3,11250,0.198,3e-05,,,,
5.33,11300,0.2059,3e-05,,,,
5.35,11350,0.2019,3e-05,,,,
5.37,11400,0.1873,3e-05,,,,
5.4,11450,0.1915,3e-05,,,,
5.42,11500,0.1956,3e-05,,,,
5.44,11550,0.192,3e-05,,,,
5.47,11600,0.1964,3e-05,,,,
5.49,11650,0.1974,3e-05,,,,
5.51,11700,0.2037,3e-05,,,,
